iter	RMSE
0	14.62209756
1	14.22283776
2	13.86322359
3	13.49749103
4	13.18802047
5	12.83298572
6	12.50055302
7	12.17151275
8	11.88608274
9	11.59501148
10	11.326513
11	11.10294389
12	10.8420213
13	10.60493231
14	10.38837028
15	10.15573094
16	9.9502784
17	9.768358277
18	9.562962984
19	9.392815813
20	9.211854069
21	9.052871644
22	8.901210206
23	8.77885052
24	8.632147551
25	8.473683874
26	8.337372777
27	8.208279568
28	8.098001043
29	7.970329493
30	7.857596878
31	7.746798612
32	7.638582854
33	7.527147912
34	7.429175097
35	7.339772007
36	7.266554115
37	7.195087639
38	7.122136229
39	7.051250242
40	6.980117757
41	6.915662791
42	6.858522
43	6.793153766
44	6.730154936
45	6.68327381
46	6.623317206
47	6.573625004
48	6.5219687
49	6.479620732
50	6.434377981
51	6.387107643
52	6.335914575
53	6.294107476
54	6.255218411
55	6.215634616
56	6.185464304
57	6.148306746
58	6.11263184
59	6.078894236
60	6.051401508
61	6.025040922
62	5.990359686
63	5.961503979
64	5.940246603
65	5.911513341
66	5.884169223
67	5.863288203
68	5.844766187
69	5.821894257
70	5.803319239
71	5.785303966
72	5.769351633
73	5.75043509
74	5.734920529
75	5.714725014
76	5.698694765
77	5.683656832
78	5.667560937
79	5.652798597
80	5.63912849
81	5.632512812
82	5.620771922
83	5.608328705
84	5.591323137
85	5.576721095
86	5.557220694
87	5.546215635
88	5.533282871
89	5.522871431
90	5.509368972
91	5.499171206
92	5.490515437
93	5.481463868
94	5.467994343
95	5.460834473
96	5.451218544
97	5.4387662
98	5.429780552
99	5.42157594
100	5.413269141
101	5.407288402
102	5.397920012
103	5.384961339
104	5.379593854
105	5.37021845
106	5.364348215
107	5.355956751
108	5.350714238
109	5.344122534
110	5.339447626
111	5.332289678
112	5.32668177
113	5.323138608
114	5.317793749
115	5.3144828
116	5.308665804
117	5.301124158
118	5.295367175
119	5.291230586
120	5.287218616
121	5.277232407
122	5.268995633
123	5.259381191
124	5.253546407
125	5.250481625
126	5.244032296
127	5.236030962
128	5.229903411
129	5.227270641
130	5.220331356
131	5.217402864
132	5.214399964
133	5.210245136
134	5.206099344
135	5.201376144
136	5.197500201
137	5.19034235
138	5.185857351
139	5.183223451
140	5.180406518
141	5.176505168
142	5.172175354
143	5.168441423
144	5.164039435
145	5.159534752
146	5.152694876
147	5.149235303
148	5.144378788
149	5.141597032
150	5.137007424
151	5.133398943
152	5.129771741
153	5.127338475
154	5.12088712
155	5.118144721
156	5.115556035
157	5.114275822
158	5.111428108
159	5.104671405
160	5.102272073
161	5.101199712
162	5.097402904
163	5.092601999
164	5.087462939
165	5.084238282
166	5.078699972
167	5.076146827
168	5.07390258
169	5.069120624
170	5.067711803
171	5.066317663
172	5.064187189
173	5.061214487
174	5.057043589
175	5.05319139
176	5.052108562
177	5.049794404
178	5.044981364
179	5.041183338
180	5.038958574
181	5.038485548
182	5.035719958
183	5.034221809
184	5.031731659
185	5.029176474
186	5.027346243
187	5.023616325
188	5.021446357
189	5.019756043
190	5.016470499
191	5.012455624
192	5.009646042
193	5.007259795
194	5.005431602
195	5.005242749
196	5.002267342
197	5.000606382
198	4.99528976
199	4.99494225
200	4.991388737
201	4.991214081
202	4.988578874
