iter	Passed	Remaining
0	0	183
1	1	175
2	2	166
3	3	161
4	3	156
5	4	151
6	5	146
7	5	145
8	6	141
9	7	138
10	7	134
11	8	132
12	8	130
13	9	127
14	10	126
15	10	124
16	11	122
17	11	120
18	12	120
19	13	118
20	13	117
21	14	116
22	14	115
23	15	114
24	15	113
25	16	112
26	17	110
27	17	109
28	18	108
29	18	107
30	19	106
31	19	105
32	20	104
33	20	104
34	21	103
35	22	102
36	22	101
37	23	100
38	23	99
39	24	99
40	24	98
41	25	97
42	26	96
43	26	96
44	27	95
45	27	94
46	28	93
47	28	93
48	29	92
49	30	91
50	30	91
51	31	90
52	31	90
53	32	89
54	32	88
55	33	88
56	34	87
57	34	86
58	35	86
59	35	85
60	36	84
61	36	83
62	37	83
63	38	82
64	38	81
65	39	81
66	39	80
67	40	79
68	40	79
69	41	78
70	41	78
71	42	77
72	43	76
73	43	76
74	44	75
75	45	75
76	45	75
77	46	74
78	47	73
79	47	73
80	48	72
81	48	71
82	49	71
83	49	70
84	50	70
85	51	69
86	51	68
87	52	68
88	52	67
89	53	66
90	53	66
91	54	65
92	54	65
93	55	64
94	56	64
95	57	63
96	57	63
97	58	62
98	58	61
99	59	61
100	59	60
101	60	59
102	61	59
103	61	58
104	62	58
105	62	57
106	63	56
107	63	56
108	64	55
109	64	54
110	65	54
111	66	53
112	66	53
113	67	52
114	67	51
115	68	51
116	68	50
117	69	50
118	70	49
119	70	48
120	71	48
121	71	47
122	72	47
123	73	46
124	73	46
125	74	45
126	75	44
127	75	44
128	76	43
129	76	43
130	77	42
131	77	41
132	78	41
133	79	40
134	79	40
135	80	39
136	80	38
137	81	38
138	82	37
139	82	37
140	83	36
141	83	36
142	84	35
143	85	34
144	86	34
145	86	33
146	87	33
147	88	32
148	88	32
149	89	31
150	90	31
151	90	30
152	91	29
153	92	29
154	92	28
155	93	28
156	93	27
157	94	26
158	94	26
159	95	25
160	95	24
161	96	24
162	96	23
163	97	23
164	97	22
165	98	21
166	99	21
167	99	20
168	100	20
169	100	19
170	101	18
171	101	18
172	102	17
173	102	17
174	103	16
175	103	15
176	104	15
177	104	14
178	105	14
179	105	13
180	106	12
181	106	12
182	107	11
183	107	11
184	108	10
185	108	9
186	109	9
187	109	8
188	110	8
189	110	7
190	111	7
191	111	6
192	112	5
193	113	5
194	113	4
195	113	4
196	114	3
197	114	2
198	115	2
199	115	1
200	116	1
201	116	0
202	117	0
